,wiki,cohort,new_eds,ret
0,2019-10-08 20:14:46.0,20208,1,
1,abwiki,2018-03,1,0.0
2,abwiki,2019-09,1,0.0
3,abwiki,2019-11,1,0.0
4,acewiki,2018-02,2,0.0
5,acewiki,2018-03,1,0.0
6,acewiki,2018-04,1,0.0
7,acewiki,2018-08,1,0.0
8,acewiki,2018-10,1,0.0
9,acewiki,2019-02,1,0.0
10,acewiki,2019-05,2,0.0
11,acewiki,2019-09,1,0.0
12,acewiki,2019-12,1,0.0
13,adywiki,2018-09,1,0.0
14,adywiki,2019-08,1,0.0
15,adywiki,2019-10,1,0.0
16,adywiki,2020-01,1,0.0
17,afwiki,2018-01,10,0.0
18,afwiki,2018-02,8,0.0
19,afwiki,2018-03,7,0.14285714285714285
20,afwiki,2018-04,11,0.09090909090909093
21,afwiki,2018-05,13,0.07692307692307693
22,afwiki,2018-06,11,0.09090909090909093
23,afwiki,2018-07,15,0.0
24,afwiki,2018-08,9,0.0
25,afwiki,2018-09,12,0.08333333333333333
26,afwiki,2018-10,10,0.1
27,afwiki,2018-11,13,0.0
28,afwiki,2018-12,14,0.21428571428571427
29,afwiki,2019-01,10,0.0
30,afwiki,2019-02,10,0.0
31,afwiki,2019-03,10,0.1
32,afwiki,2019-04,13,0.07692307692307693
33,afwiki,2019-05,5,0.2
34,afwiki,2019-06,3,0.0
35,afwiki,2019-07,13,0.0
36,afwiki,2019-08,9,0.0
37,afwiki,2019-09,6,0.16666666666666666
38,afwiki,2019-10,9,0.2222222222222222
39,afwiki,2019-11,6,0.0
40,afwiki,2019-12,7,0.14285714285714285
41,afwiki,2020-01,20,0.0
42,afwikibooks,2018-11,1,0.0
43,afwikibooks,2019-07,1,0.0
44,afwikiquote,2019-09,1,0.0
45,afwiktionary,2018-04,1,0.0
46,afwiktionary,2018-05,1,0.0
47,afwiktionary,2018-12,1,0.0
48,afwiktionary,2019-02,2,0.0
49,afwiktionary,2019-05,1,0.0
50,afwiktionary,2019-07,1,0.0
51,afwiktionary,2019-08,1,0.0
52,afwiktionary,2019-09,1,0.0
53,akwiki,2018-01,1,0.0
54,akwiki,2019-05,3,0.0
55,akwiki,2019-06,1,1.0
56,akwiki,2019-08,2,0.0
57,akwiki,2019-10,1,0.0
58,akwiki,2019-12,1,0.0
59,alswiki,2018-01,5,0.0
60,alswiki,2018-02,1,0.0
61,alswiki,2018-03,1,0.0
62,alswiki,2018-04,1,0.0
63,alswiki,2018-06,4,0.0
64,alswiki,2018-07,6,0.0
65,alswiki,2018-08,3,0.0
66,alswiki,2018-09,2,0.0
67,alswiki,2018-10,1,1.0
68,alswiki,2018-11,2,0.0
69,alswiki,2018-12,3,0.0
70,alswiki,2019-01,1,0.0
71,alswiki,2019-02,2,0.0
72,alswiki,2019-03,2,0.0
73,alswiki,2019-04,2,0.0
74,alswiki,2019-06,1,0.0
75,alswiki,2019-08,1,1.0
76,alswiki,2019-09,2,0.0
77,alswiki,2019-10,3,0.0
78,amwiki,2018-02,3,0.0
79,amwiki,2018-03,1,0.0
80,amwiki,2018-04,3,0.0
81,amwiki,2018-05,7,0.0
82,amwiki,2018-06,3,0.0
83,amwiki,2018-07,3,0.0
84,amwiki,2018-08,7,0.2857142857142857
85,amwiki,2018-09,2,0.0
86,amwiki,2018-10,5,0.0
87,amwiki,2018-11,9,0.0
88,amwiki,2018-12,4,0.0
89,amwiki,2019-01,7,0.0
90,amwiki,2019-02,7,0.2857142857142857
91,amwiki,2019-03,6,0.3333333333333333
92,amwiki,2019-04,6,0.3333333333333333
93,amwiki,2019-05,6,0.0
94,amwiki,2019-06,2,0.0
95,amwiki,2019-07,15,0.0
96,amwiki,2019-08,5,0.0
97,amwiki,2019-09,2,0.0
98,amwiki,2019-11,3,0.3333333333333333
99,amwiki,2019-12,1,0.0
100,amwiki,2020-01,5,0.0
101,amwikimedia,2019-06,1,1.0
102,amwikimedia,2019-07,1,0.0
103,angwiki,2018-01,1,0.0
104,angwiki,2018-02,1,0.0
105,angwiki,2018-03,1,0.0
106,angwiki,2018-04,1,0.0
107,angwiki,2018-06,1,0.0
108,angwiki,2018-10,1,0.0
109,angwiki,2019-04,2,0.0
110,angwiki,2019-11,1,0.0
111,angwiktionary,2018-07,1,0.0
112,angwiktionary,2018-08,1,0.0
113,angwiktionary,2019-03,1,0.0
114,angwiktionary,2019-07,1,0.0
115,angwiktionary,2019-11,1,0.0
116,anwiki,2018-07,1,0.0
117,anwiki,2018-12,2,0.0
118,anwiki,2019-03,2,0.5
119,anwiki,2019-07,1,1.0
120,arcwiki,2020-01,1,1.0
