month,sum(editors),wmf_region
2018-01,14507,Central & Eastern Europe & Central Asia
2018-01,14943,"East, Southeast Asia, & Pacific"
2018-01,5798,Latin America & Caribbean
2018-01,4304,Middle East & North Africa
2018-01,16894,North America
2018-01,33448,Northern & Western Europe
2018-01,3877,South Asia
2018-01,626,Sub-Saharan Africa
2018-01,2832,
2018-02,13646,Central & Eastern Europe & Central Asia
2018-02,14344,"East, Southeast Asia, & Pacific"
2018-02,5141,Latin America & Caribbean
2018-02,3977,Middle East & North Africa
2018-02,16161,North America
2018-02,30622,Northern & Western Europe
2018-02,3850,South Asia
2018-02,604,Sub-Saharan Africa
2018-02,2673,
2018-03,14242,Central & Eastern Europe & Central Asia
2018-03,15204,"East, Southeast Asia, & Pacific"
2018-03,5593,Latin America & Caribbean
2018-03,4172,Middle East & North Africa
2018-03,18688,North America
2018-03,32667,Northern & Western Europe
2018-03,4200,South Asia
2018-03,706,Sub-Saharan Africa
2018-03,2747,
2018-04,12832,Central & Eastern Europe & Central Asia
2018-04,15191,"East, Southeast Asia, & Pacific"
2018-04,5581,Latin America & Caribbean
2018-04,4383,Middle East & North Africa
2018-04,18144,North America
2018-04,31473,Northern & Western Europe
2018-04,3890,South Asia
2018-04,739,Sub-Saharan Africa
2018-04,2603,
2018-05,13482,Central & Eastern Europe & Central Asia
2018-05,15519,"East, Southeast Asia, & Pacific"
2018-05,5625,Latin America & Caribbean
2018-05,4150,Middle East & North Africa
2018-05,16979,North America
2018-05,31904,Northern & Western Europe
2018-05,3721,South Asia
2018-05,760,Sub-Saharan Africa
2018-05,2527,
2018-06,13016,Central & Eastern Europe & Central Asia
2018-06,14515,"East, Southeast Asia, & Pacific"
2018-06,5381,Latin America & Caribbean
2018-06,4155,Middle East & North Africa
2018-06,15238,North America
2018-06,30018,Northern & Western Europe
2018-06,3492,South Asia
2018-06,728,Sub-Saharan Africa
2018-06,2616,
2018-07,12876,Central & Eastern Europe & Central Asia
2018-07,15345,"East, Southeast Asia, & Pacific"
2018-07,5666,Latin America & Caribbean
2018-07,4271,Middle East & North Africa
2018-07,15303,North America
2018-07,29498,Northern & Western Europe
2018-07,3740,South Asia
2018-07,973,Sub-Saharan Africa
2018-07,2681,
2018-08,13004,Central & Eastern Europe & Central Asia
2018-08,15594,"East, Southeast Asia, & Pacific"
2018-08,5769,Latin America & Caribbean
2018-08,4197,Middle East & North Africa
2018-08,15639,North America
2018-08,30350,Northern & Western Europe
2018-08,3960,South Asia
2018-08,777,Sub-Saharan Africa
2018-08,0,UNCLASSED
2018-08,2775,
2018-09,12180,Central & Eastern Europe & Central Asia
2018-09,14805,"East, Southeast Asia, & Pacific"
2018-09,5764,Latin America & Caribbean
2018-09,4142,Middle East & North Africa
2018-09,14921,North America
2018-09,29640,Northern & Western Europe
2018-09,4118,South Asia
2018-09,684,Sub-Saharan Africa
2018-09,2579,
2018-10,13101,Central & Eastern Europe & Central Asia
2018-10,15227,"East, Southeast Asia, & Pacific"
