month	active_editors	anonymous_edits	global_south_active_editors	global_south_edits	global_south_new_editor_retention	global_south_nonbot_edits	mobile-heavy_wiki_active_editors	mobile-heavy_wiki_edits	mobile-heavy_wiki_new_editor_retention	mobile-heavy_wiki_nonbot_edits	mobile_edits	net_new_Commons_content_pages	net_new_Wikidata_entities	net_new_Wikipedia_articles	net_new_content_pages	new_active_editors	new_editor_retention	non_anonymous_edits	other_nonbot_edits	returning_active_editors	revert_rate	total_edits	uploads	wikidata_edits
1/1/01	6										0	0	0	31	10696	6			225	0	0.014760148	13783	0	0
2/1/01	9										0	0	0	133	434	4			600	5	0.001362398	2178	0	0
3/1/01	19										0	0	0	437	1309	12	0.5		1018	7	0.000818331	4078	0	0
4/1/01	18										0	0	0	562	1604	5	0.6		759	13	0.003322259	2735	0	0
5/1/01	21										0	0	0	1243	3796	6	0.538461539		1698	15	0.001532176	5955	0	0
6/1/01	24										0	0	0	582	1359	2	0.272727273		1060	22	0.003167063	3710	0	0
7/1/01	43										0	0	0	1099	2460	21	0.615384615		1792	22	0.01131333	6078	0	0
8/1/01	53						0	1		1	0	0	0	1651	4129	15	0		2627	38	0.00298904	9777	0	0
9/1/01	87										0	0	0	3018	7308	36	0.5		4897	51	0.008198215	17513	0	0
10/1/01	103										0	0	0	4583	11081	26	0.5		7958	77	0.023083076	28177	0	0
11/1/01	137						0	3		3	0	0	0	3295	8020	42	0.525423729		13062	95	0.043410853	40133	0	0
12/1/01	146										0	0	0	2222	4755	49	0.534883721		17544	97	0.062460301	49882	0	0
1/1/02	145										0	0	0	2552	2572	31	0.448717949		13147	114	0.047791718	21234	0	0
2/1/02	176						0	6		6	0	0	0	8821	8897	57	0.424242424		48197	119	0.021172163	62626	0	0
3/1/02	201						0	9		9	0	0	0	4463	4486	56	0.469879518		20121	145	0.038457931	30448	0	0
4/1/02	177						0	3		3	0	0	0	3884	3921	34	0.277777778		18883	143	0.047688959	27491	0	0
5/1/02	162						0	9		9	0	0	0	4864	4880	31	0.217391304		17771	131	0.039264918	27804	0	0
6/1/02	191						0	3		3	0	0	0	4772	4817	50	0.245283019		24811	141	0.038454121	36117	0	0
7/1/02	221						0	5		5	0	0	0	5532	5560	69	0.275862069		32953	152	0.039402096	46177	0	0
8/1/02	310						0	11	0	11	0	0	0	7671	7718	111	0.27027027		56597	199	0.039309181	85622	32	0
9/1/02	405						0	16		16	0	0	0	13060	13097	153	0.265432099		83918	252	0.042657082	109911	5	0
10/1/02	448						0	15	1	15	0	0	0	40836	40894	169	0.281632653		109570	279	0.048343496	148479	13	0
11/1/02	478						0	7		7	0	0	0	10099	10154	163	0.239884393		71427	315	0.078164371	118484	33	0
12/1/02	544						1	48	0	48	0	0	0	10418	11234	186	0.269047619		80936	358	0.079205049	150510	13	0
1/1/03	808						0	43		43	0	1	0	12607	12915	359	0.230414747		107884	449	0.06705706	151107	8	0
2/1/03	885						1	38	0.5	38	0	0	0	17918	18550	327	0.237659963		117455	558	0.070212282	166725	17	0
3/1/03	762						0	19	0.4	19	0	0	0	16521	16952	207	0.200191571		119129	555	0.075194882	165840	39	0
4/1/03	803						1	64	0	64	0	0	0	14672	15354	241	0.235802469		116877	562	0.087152499	163404	29	0
