month	global_north_active_editors	global_north_edits	global_north_net_new_content	global_north_new_editor_retention	global_north_nonbot_edits	global_north_wikidata_entities	global_south_active_editors	global_south_edits	global_south_net_new_content	global_south_new_editor_retention	global_south_nonbot_edits	global_south_wikidata_entities
2018-01-01												
2018-02-01												
2018-03-01												
2018-04-01												
2018-05-01												
2018-06-01										0.044275		
2018-07-01										0.042536		
2018-08-01										0.047855		
2018-09-01							20109.0	2070328.0		0.04832	2070326.0	
2018-10-01							19891.0	1979771.0			1979769.0	
2018-11-01							20008.0	2015177.0		0.042	2015175.0	
2018-12-01							20359.0	2067577.0		0.0409999999999999	2067577.0	
2019-01-01							21367.0	2434941.0		0.03839281	2434941.0	
2019-02-01							19743.0	2241877.0		0.04347225	2241875.0	
2019-03-01							21679.0	2294512.0		0.04577446	2294512.0	
2019-04-01							19941.0	2053568.0		0.04010374	2052287.0	
2019-05-01							20841.0	2273855.0		0.04296635	2272975.0	
2019-06-01							20093.0	2090806.0		0.05860526	2090322.0	
2019-07-01							21197.0	2265222.0		0.04120787	2264700.0	
2019-08-01							21218.0	2379622.0		0.04158701	2379348.0	
2019-09-01	66866.0	11212108.0	1317439.0		11212108.0	680290.0	20204.0	2342720.0	219497.0		2342424.0	70511.0
2019-10-01	71113.0	11650311.0	1010793.0		11650311.0	332754.0	20908.0	2346662.0	337818.0		2346370.0	178675.0
2019-11-01	72105.0	24186855.0	1931146.0		24186855.0	1139864.0	20692.0	2203108.0	393509.0		2201311.0	126134.0
2019-12-01	68861.0	26570632.0	2925830.0	0.077824	14433228.0	1840817.0	20377.0	2138211.0	248453.0	0.04419013	2203108.0	49213.0
2020-01-01	73227.0	27452425.0	2549815.0	0.05898921	14582826.0	1536891.0	21450.0	2282408.0	997375.0	0.04497855	2282408.0	772105.0
2020-02-01	71422.0	23282187.0	2584204.0	0.07646474	10579860.0	1539784.0	20245.0	2191848.0	489040.0	0.0430971	1980937.0	266143.0
2020-03-01	73738.0	22969292.0	2508475.0	0.08657205	12125525.0	1526020.0	21524.0	2802052.0	410424.0	0.04232751	2441182.0	92564.0
