month	female total	male total	gender_diverse total	female_MoM_difference	gender_diverse_MoM_difference	male_MoM_difference	female + gender_diverse	all_genders_sum	% of new articles about gender minorities
2001-01-01	0	0	0				0.0	0.0	
2001-02-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-03-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-04-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-05-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-06-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-07-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-08-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-09-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-10-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-11-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2001-12-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-01-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-02-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-03-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-04-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-05-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-06-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-07-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-08-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-09-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-10-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-11-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2002-12-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2003-01-01	0	2	0	0.0	0.0	2.0	0.0	2.0	0.0
2003-02-01	0	1	0	0.0	0.0	-1.0	0.0	-1.0	-0.0
2003-03-01	0	1	0	0.0	0.0	0.0	0.0	0.0	
2003-04-01	0	0	0	0.0	0.0	-1.0	0.0	-1.0	-0.0
2003-05-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2003-06-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2003-07-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2003-08-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2003-09-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2003-10-01	0	0	0	0.0	0.0	0.0	0.0	0.0	
2003-11-01	0	1	0	0.0	0.0	1.0	0.0	1.0	0.0
2003-12-01	0	1	0	0.0	0.0	0.0	0.0	0.0	
2004-01-01	0	1	0	0.0	0.0	0.0	0.0	0.0	
2004-02-01	0	1	0	0.0	0.0	0.0	0.0	0.0	
2004-03-01	0	2	0	0.0	0.0	1.0	0.0	1.0	0.0
2004-04-01	0	1	0	0.0	0.0	-1.0	0.0	-1.0	-0.0
2004-05-01	6	77	0	6.0	0.0	76.0	6.0	82.0	0.07317073170731707
2004-06-01	27	403	0	21.0	0.0	326.0	21.0	347.0	0.06051873198847262
2004-07-01	45	555	0	18.0	0.0	152.0	18.0	170.0	0.10588235294117647
2004-08-01	52	716	0	7.0	0.0	161.0	7.0	168.0	0.041666666666666664
2004-09-01	77	893	0	25.0	0.0	177.0	25.0	202.0	0.12376237623762376
2004-10-01	102	1079	0	25.0	0.0	186.0	25.0	211.0	0.11848341232227488
2004-11-01	113	1302	0	11.0	0.0	223.0	11.0	234.0	0.04700854700854701
2004-12-01	128	1504	0	15.0	0.0	202.0	15.0	217.0	0.06912442396313365
2005-01-01	145	1770	0	17.0	0.0	266.0	17.0	283.0	0.06007067137809187
2005-02-01	175	1987	0	30.0	0.0	217.0	30.0	247.0	0.1214574898785425
2005-03-01	196	2309	0	21.0	0.0	322.0	21.0	343.0	0.061224489795918366
2005-04-01	237	2716	2	41.0	2.0	407.0	43.0	450.0	0.09555555555555556
2005-05-01	280	3125	2	43.0	0.0	409.0	43.0	452.0	0.09513274336283185
2005-06-01	345	3519	2	65.0	0.0	394.0	65.0	459.0	0.14161220043572983
2005-07-01	404	4004	3	59.0	1.0	485.0	60.0	545.0	0.11009174311926606
2005-08-01	504	4517	4	100.0	1.0	513.0	101.0	614.0	0.16449511400651465
2005-09-01	566	4987	6	62.0	2.0	470.0	64.0	534.0	0.1198501872659176
2005-10-01	628	5526	6	62.0	0.0	539.0	62.0	601.0	0.10316139767054909
2005-11-01	716	6153	7	88.0	1.0	627.0	89.0	716.0	0.12430167597765363
2005-12-01	819	6968	7	103.0	0.0	815.0	103.0	918.0	0.11220043572984749
2006-01-01	957	7924	7	138.0	0.0	956.0	138.0	1094.0	0.12614259597806216
2006-02-01	1129	8774	8	172.0	1.0	850.0	173.0	1023.0	0.16911045943304007
2006-03-01	1303	9893	10	174.0	2.0	1119.0	176.0	1295.0	0.13590733590733592
2006-04-01	1473	10985	8	170.0	-2.0	1092.0	168.0	1260.0	0.13333333333333333
2006-05-01	1684	12255	8	211.0	0.0	1270.0	211.0	1481.0	0.1424713031735314
2006-06-01	1884	13482	10	200.0	2.0	1227.0	202.0	1429.0	0.14135759272218335
2006-07-01	2108	14913	10	224.0	0.0	1431.0	224.0	1655.0	0.13534743202416918
2006-08-01	2379	16543	11	271.0	1.0	1630.0	272.0	1902.0	0.14300736067297581
