month	Latin America & Caribbean total	Central & Eastern Europe & Central Asia total	East, Southeast Asia, & Pacific total	North America total	Northern & Western Europe total	Middle East & North Africa total	Sub-Saharan Africa total	South Asia total	UNCLASSED total	Latin America & Caribbean_MoM_difference	Central & Eastern Europe & Central Asia_MoM_difference	East, Southeast Asia, & Pacific_MoM_difference	North America_MoM_difference	Northern & Western Europe_MoM_difference	Middle East & North Africa_MoM_difference	Sub-Saharan Africa_MoM_difference	South Asia_MoM_difference	UNCLASSED_MoM_difference	underrepresented_regions_sum	all_regions_sum	% of new articles about underrepresented regions
2001-01-01	0	0	0	0	0	0	0	0											0.0	0.0	
2001-02-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-03-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-04-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-05-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-06-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-07-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-08-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-09-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-10-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-11-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2001-12-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-01-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-02-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-03-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-04-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-05-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-06-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-07-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-08-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-09-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-10-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-11-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2002-12-01	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2003-01-01	0	0	0	0	2	0	0	0		0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0		0.0	2.0	0.0
2003-02-01	0	0	0	0	2	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2003-03-01	0	0	0	0	1	0	0	0		0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0		0.0	-1.0	-0.0
2003-04-01	0	0	0	0	1	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2003-05-01	0	0	0	0	1	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2003-06-01	0	0	0	0	1	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2003-07-01	0	0	0	0	1	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2003-08-01	0	0	0	0	1	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2003-09-01	0	0	0	1	1	0	0	0		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0
2003-10-01	0	0	0	0	1	0	0	0		0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0		0.0	-1.0	-0.0
2003-11-01	0	0	0	0	1	0	1	0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		1.0	1.0	1.0
2003-12-01	0	0	0	0	1	0	1	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	
2004-01-01	0	0	0	0	3	0	1	1		0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0		1.0	3.0	0.3333333333333333
2004-02-01	1	0	3	0	3	0	2	1		1.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0		5.0	5.0	1.0
2004-03-01	2	0	3	1	4	0	2	1		1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		1.0	3.0	0.3333333333333333
2004-04-01	2	0	3	1	4	0	2	2		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0		1.0	1.0	1.0
2004-05-01	15	26	31	35	49	8	21	9		13.0	26.0	28.0	34.0	45.0	8.0	19.0	7.0		75.0	180.0	0.4166666666666667
2004-06-01	59	108	92	189	452	31	37	19		44.0	82.0	61.0	154.0	403.0	23.0	16.0	10.0		154.0	793.0	0.19419924337957126
2004-07-01	71	165	124	254	625	38	44	26		12.0	57.0	32.0	65.0	173.0	7.0	7.0	7.0		65.0	360.0	0.18055555555555555
2004-08-01	96	213	172	315	820	47	52	35		25.0	48.0	48.0	61.0	195.0	9.0	8.0	9.0		99.0	403.0	0.2456575682382134
2004-09-01	116	270	223	369	1067	61	57	47		20.0	57.0	51.0	54.0	247.0	14.0	5.0	12.0		102.0	460.0	0.2217391304347826
2004-10-01	141	334	322	452	1270	66	68	58		25.0	64.0	99.0	83.0	203.0	5.0	11.0	11.0		151.0	501.0	0.3013972055888224
2004-11-01	164	398	370	529	1498	75	80	66		23.0	64.0	48.0	77.0	228.0	9.0	12.0	8.0		100.0	469.0	0.21321961620469082
2004-12-01	190	463	431	602	1681	78	96	84		26.0	65.0	61.0	73.0	183.0	3.0	16.0	18.0		124.0	445.0	0.2786516853932584
2005-01-01	219	577	479	673	1926	88	107	95		29.0	114.0	48.0	71.0	245.0	10.0	11.0	11.0		109.0	539.0	0.20222634508348794
2005-02-01	242	679	536	741	2163	108	133	108		23.0	102.0	57.0	68.0	237.0	20.0	26.0	13.0		139.0	546.0	0.25457875457875456
2005-03-01	284	790	628	820	2464	128	162	120		42.0	111.0	92.0	79.0	301.0	20.0	29.0	12.0		195.0	686.0	0.28425655976676384
2005-04-01	308	930	700	924	2806	155	179	133		24.0	140.0	72.0	104.0	342.0	27.0	17.0	13.0		153.0	739.0	0.2070365358592693
2005-05-01	340	1037	785	1062	3112	188	195	153		32.0	107.0	85.0	138.0	306.0	33.0	16.0	20.0		186.0	737.0	0.25237449118046135
2005-06-01	366	1167	894	1207	3474	232	224	192		26.0	130.0	109.0	145.0	362.0	44.0	29.0	39.0		247.0	884.0	0.27941176470588236
2005-07-01	411	1282	990	1344	3930	253	242	207		45.0	115.0	96.0	137.0	456.0	21.0	18.0	15.0		195.0	903.0	0.2159468438538206
2005-08-01	444	1445	1086	1526	4459	280	270	226		33.0	163.0	96.0	182.0	529.0	27.0	28.0	19.0		203.0	1077.0	0.18848653667595172
2005-09-01	500	1551	1181	1713	4960	314	301	246		56.0	106.0	95.0	187.0	501.0	34.0	31.0	20.0		236.0	1030.0	0.229126213592233
2005-10-01	552	1732	1281	1904	5424	343	328	283		52.0	181.0	100.0	191.0	464.0	29.0	27.0	37.0		245.0	1081.0	0.22664199814986125
2005-11-01	612	1884	1385	2121	5882	371	358	307		60.0	152.0	104.0	217.0	458.0	28.0	30.0	24.0		246.0	1073.0	0.22926374650512582
2005-12-01	672	2032	1500	2396	6484	404	403	336		60.0	148.0	115.0	275.0	602.0	33.0	45.0	29.0		282.0	1307.0	0.21576128538638104
2006-01-01	736	2253	1631	2671	7146	455	438	368		64.0	221.0	131.0	275.0	662.0	51.0	35.0	32.0		313.0	1471.0	0.21278042148198503
2006-02-01	801	2486	1803	2945	7777	505	468	388		65.0	233.0	172.0	274.0	631.0	50.0	30.0	20.0		337.0	1475.0	0.22847457627118645
2006-03-01	892	2783	2000	3260	8569	575	499	433		91.0	297.0	197.0	315.0	792.0	70.0	31.0	45.0		434.0	1838.0	0.23612622415669204
2006-04-01	1011	3012	2175	3626	9255	638	561	482		119.0	229.0	175.0	366.0	686.0	63.0	62.0	49.0		468.0	1749.0	0.26758147512864494
2006-05-01	1129	3334	2380	4024	10032	698	588	522		118.0	322.0	205.0	398.0	777.0	60.0	27.0	40.0		450.0	1947.0	0.23112480739599384
