month	structured_data_used	num_commons_files_used_content_pages	wikidata_items	wikidata_items_being_reused
2020-07-01	102540679.0	33182261.0		
2020-08-01	104565582.0	33576054.0	88776242.0	18390627.0
2020-09-01	105631168.0	33815277.0	89386201.0	18472082.0
2020-10-01	106729592.0	32666244.0	90190671.0	18549227.0
2020-11-01	108116779.0	31481821.0	90821857.0	18673974.0
2020-12-01	109284793.0	30628535.0	91480812.0	18782123.0
2021-01-01	110336427.0	30922629.0	91898784.0	18890176.0
2021-02-01	111537756.0	31236223.0	92346206.0	18961132.0
2021-03-01	113749241.0	31994067.0	92766054.0	19081836.0
2021-04-01	115768032.0	32439596.0	93039049.0	19175909.0
2021-05-01	117023506.0	33188319.0	93295754.0	19272296.0
