month	automated_pageviews	desktop	interactions	mobileweb	previews_seen	total_pageview	unique_devices
2016-07-01		7319709535.0		6951477838.0		14479097793.0	
2016-08-01		7808198322.0		7158465508.0		15164063733.0	
2016-09-01		8015803318.0		7037821889.0		15227361307.0	
2016-10-01		8597813074.0		7454268064.0		16205992870.0	
2016-11-01		8756368629.0		7568847051.0		16499874726.0	
2016-12-01		8140608026.0		7623805561.0		15964600507.0	
2017-01-01		8744161429.0		8447531216.0		17412432609.0	
2017-02-01		7839499315.0		7590676880.0		15625623428.0	
2017-03-01		8395033295.0		8057560007.0		16685569527.0	
2017-04-01		7562762605.0		7669719067.0		15453707813.0	1460414504.0
2017-05-01		8035813360.0		7752170197.0		16016328494.0	1468565178.0
2017-06-01		7065219264.0		7208463286.0		14495769150.0	1377702365.0
2017-07-01		6787338880.0		7457648548.0		14481092187.0	1361541637.0
2017-08-01		6814990454.0		7546012172.0		14592094078.0	1403567043.0
2017-09-01		6926403696.0		7498861598.0		14647090400.0	1427247838.0
2017-10-01		7597629364.0		7874235134.0		15701179307.0	1505537161.0
2017-11-01		7501964186.0		7775112502.0		15499338115.0	1521315531.0
2017-12-01		6760319200.0		7520538056.0		14505539686.0	1493041465.0
2018-01-01		7711626290.0		8730194286.0		16695321451.0	1554911548.0
2018-02-01		6892239689.0		7778817620.0		14891985404.0	1487086660.0
2018-03-01		7520189254.0		8474005634.0		16234990784.0	1577671296.0
2018-04-01		7072467475.0	16736272662.0	8145322785.0	1287111552.0	15449161110.0	1522050732.0
2018-05-01		7231328547.0	18047017946.0	8601711702.0	1965116275.0	16081901671.0	1562607664.0
2018-06-01		6570949411.0	16751441350.0	8166266814.0	1775462118.0	14975979232.0	1481623542.0
2018-07-01		6568332002.0	17019003787.0	8534667052.0	1665358928.0	15353644859.0	1484414539.0
2018-08-01		6395167245.0	16867847479.0	8571597390.0	1652012223.0	15215835256.0	1516850100.0
2018-09-01		6478785721.0	16713641739.0	8364518122.0	1638292265.0	15075349474.0	1609517085.0
2018-10-01		7020453124.0	17755511665.0	8685505978.0	1810538794.0	15944972871.0	1646304870.0
2018-11-01		6922583828.0	17657210758.0	8681662597.0	1818341997.0	15838868761.0	1584755682.0
2018-12-01		6335150624.0	17102978197.0	8834866942.0	1681405560.0	15421572637.0	1589472863.0
2019-01-01		6985972077.0	18813460266.0	9601003581.0	1959035892.0	16854424374.0	1584392317.0
2019-02-01		6264340878.0	16733002993.0	8500267968.0	1738551430.0	14994451563.0	1531982663.0
2019-03-01		6740714008.0	18190360901.0	9330934371.0	1867233307.0	16323127594.0	1636520495.0
2019-04-01		6407008283.0	17420271488.0	9013609978.0	1759067428.0	15661204060.0	1581509035.0
2019-05-01		6630746673.0	18179307830.0	9442723863.0	1850432228.0	16328875602.0	1594894475.0
2019-06-01		5790501161.0	16449779883.0	8804953590.0	1609282924.0	14840496959.0	1506535565.0
2019-07-01		5894085058.0	17021113541.0	9226141926.0	1643555455.0	15377558086.0	1502241031.0
2019-08-01		5718160576.0	17063236409.0	9445959332.0	1636496145.0	15426740264.0	1509794957.0
2019-09-01		5889674409.0	17318133473.0	9408033193.0	1773316406.0	15544817067.0	1695556764.0
2019-10-01		6714077191.0	18658768503.0	9750823612.0	1936366629.0	16722401874.0	1811302107.0
2019-11-01		6404464024.0	18140097805.0	9572731695.0	1909126799.0	16230971006.0	1694747216.0
2019-12-01		5988201416.0	17456309776.0	9388243407.0	1807162586.0	15649147190.0	1576535115.0
2020-01-01		6598842421.0	19199711455.0	10206934451.0	2097219744.0	17102491711.0	1639562332.0
2020-02-01		6144842598.0	17670249915.0	9327580033.0	1931594541.0	15738655374.0	1576107620.0
2020-03-01		6869439971.0	19418210391.0	10170818902.0	2098583549.0	17319626842.0	1663182270.0
