month	automated_pageviews	desktop	interactions	mobileweb	previews_seen	total_pageview	unique_devices
2016-07-01		7319709535		6951477838		14479097793	
2016-08-01		7808198322		7158465508		15164063733	
2016-09-01		8015803318		7037821889		15227361307	
2016-10-01		8597813074		7454268064		16205992870	
2016-11-01		8756368629		7568847051		16499874726	
2016-12-01		8140608026		7623805561		15964600507	
2017-01-01		8744161429		8447531216		17412432609	
2017-02-01		7839499315		7590676880		15625623428	
2017-03-01		8395033295		8057560007		16685569527	
2017-04-01		7562762605		7669719067		15453707813	1460414504.0
2017-05-01		8035813360		7752170197		16016328494	1468565178.0
2017-06-01		7065219264		7208463286		14495769150	1377702365.0
2017-07-01		6787338880		7457648548		14481092187	1361541637.0
2017-08-01		6814990454		7546012172		14592094078	1403567043.0
2017-09-01		6926403696		7498861598		14647090400	1427247838.0
2017-10-01		7597629364		7874235134		15701179307	1505537161.0
2017-11-01		7501964186		7775112502		15499338115	1521315531.0
2017-12-01		6760319200		7520538056		14505539686	1493041465.0
2018-01-01		7711626290		8730194286		16695321451	1554911548.0
2018-02-01		6892239689		7778817620		14891985404	1487086660.0
2018-03-01		7520189254		8474005634		16234990784	1577671296.0
2018-04-01		7072467475	16736272662.0	8145322785	1287111552.0	15449161110	1522050732.0
2018-05-01		7231328547	18047017946.0	8601711702	1965116275.0	16081901671	1562607664.0
2018-06-01		6570949411	16751441350.0	8166266814	1775462118.0	14975979232	1481623542.0
2018-07-01		6568332002	17019003787.0	8534667052	1665358928.0	15353644859	1484414539.0
2018-08-01		6395167245	16867847479.0	8571597390	1652012223.0	15215835256	1516850100.0
2018-09-01		6478785721	16713641739.0	8364518122	1638292265.0	15075349474	1609517085.0
2018-10-01		7020453124	17755511665.0	8685505978	1810538794.0	15944972871	1646304870.0
2018-11-01		6922583828	17657210758.0	8681662597	1818341997.0	15838868761	1584755682.0
2018-12-01		6335150624	17102978197.0	8834866942	1681405560.0	15421572637	1589472863.0
2019-01-01		6985972077	18813460266.0	9601003581	1959035892.0	16854424374	1584392317.0
2019-02-01		6264340878	16733002993.0	8500267968	1738551430.0	14994451563	1531982663.0
2019-03-01		6740714008	18190360901.0	9330934371	1867233307.0	16323127594	1636520495.0
2019-04-01		6407008283	17420271488.0	9013609978	1759067428.0	15661204060	1581509035.0
2019-05-01		6630746673	18179307830.0	9442723863	1850432228.0	16328875602	1594894475.0
2019-06-01		5790501161	16449779883.0	8804953590	1609282924.0	14840496959	1506535565.0
2019-07-01		5894085058	17021113541.0	9226141926	1643555455.0	15377558086	1502241031.0
2019-08-01		5718160576	17063236409.0	9445959332	1636496145.0	15426740264	1509794957.0
2019-09-01		5889674409	17318133473.0	9408033193	1773316406.0	15544817067	1695556764.0
2019-10-01		6714077191	18658768503.0	9750823612	1936366629.0	16722401874	1811302107.0
2019-11-01		6404464024	18140097805.0	9572731695	1909126799.0	16230971006	1694747216.0
2019-12-01		5988201416	17456309776.0	9388243407	1807162586.0	15649147190	1576535115.0
2020-01-01		6598842421	19199711455.0	10206934451	2097219744.0	17102491711	1639562332.0
2020-02-01		6144842598	17670249915.0	9327580033	1931594541.0	15738655374	1576107620.0
2020-03-01		6869439971	19418210391.0	10170818902	2098583549.0	17319626842	1663182270.0
2020-04-01		7689278872	22245704239.0	11817280295	2419940921.0	19825763318	1725476809.0
