month	central_eastern_europe_central_asia_unique_devices	east_southeast_asia_pacific_unique_devices	latin_america_caribbean_unique_devices	middle_east_north_africa_unique_devices	north_america_unique_devices	northern_western_europe_unique_devices	south_asia_unique_devices	subsaharan_africa_unique_devices	unclassed_unique_devices	unknown_unique_devices
2018-01-01	186496222	286622758	146551379	65635711	326405907	403697157	112673600	25450019	0	1378795
2018-02-01	180963695	259313837	157160307	65592505	316643877	377010875	105933351	21619549	4	2848660
2018-03-01	193991784	269197881	175903485	67421045	328863970	404026024	114924948	20765511	13	2576635
2018-04-01	185348975	255395016	176667615	67753786	320579922	382346621	109102039	22662346	14	2194398
2018-05-01	171317774	283411316	186291479	63380098	320624667	389899205	118341634	27800195	18	1541278
2018-06-01	155724314	262917958	178603348	60111123	309591547	366881406	120006985	26241479	13	1545369
2018-07-01	161695348	261203627	158280966	60188063	305135517	382182893	128530234	25728530	5	1469356
2018-08-01	162748317	278448312	172964007	60297308	305029937	376514334	133345205	26149056	6	1353618
2018-09-01	184755871	277811608	180842818	63870082	308459223	430911609	135602819	25892597	6	1370452
2018-10-01	191606503	277446582	187326162	72325581	314894941	430571296	142166993	27274940	29	2691843
2018-11-01	174920640	293610569	179649428	73976034	317851969	383439264	131254489	27024177	369	3028743
2018-12-01	174588947	340425228	145885679	73962301	310943544	385372964	130309979	24994810	395	2989016
2019-01-01	174286762	330847982	149727263	72608055	307623845	392273069	128513336	25565639	377	2945989
2019-02-01	175883074	292701002	163529813	70496258	305518287	377788569	116948411	26179354	373	2937522
2019-03-01	187847315	324175211	185380892	72534584	313179999	394300191	127678614	28610049	252	2813388
2019-04-01	173680504	305053846	182309637	71899255	307986095	386861641	122460758	28821246	250	2435803
2019-05-01	178230058	287622244	194910894	69455467	309283443	395909136	127759652	28958097	292	2765192
2019-06-01	162867201	277084769	179482459	65194022	298494975	370220802	124132838	26468465	290	2589744
2019-07-01	157358859	285007659	165488312	65450799	298790090	367571234	132014808	27642632	269	2916369
2019-08-01	157861449	280560280	178974026	64487895	294877528	366465966	136405070	28078053	273	2084417
2019-09-01	175991576	403768628	188595960	69012662	303992618	390176804	133864972	28307819	281	1845444
2019-10-01	212591754	370664460	196461681	76055279	318197754	468986681	135681633	30823487	271	1839107
2019-11-01	186745856	366660274	187093728	72660747	310911516	409193274	129510103	30352570	636	1618512
2019-12-01	180357145	317123091	152459283	78332814	310565220	383657226	124829396	27730322	1255	1479363
2020-01-01	194909167	332608237	158928981	76915844	322256194	397543994	126121770	28781921	2119	1494105
2020-02-01	197820922	296789192	166540491	72910239	310208133	381828840	119015709	29330229	2085	1661780
2020-03-01	210092228	288341451	191203212	78950260	324187650	412884525	124178941	31646803	1627	1695573
2020-04-01	221054296	290928329	202398131	83244559	338339679	424474103	133053027	30316537	151	1667997
2020-05-01	214020631	285772552	208336617	81153850	336761613	420978457	127579288	31312822	171	1674203
2020-06-01	183927945	276626703	197538584	76415825	319894197	382830528	129235504	30096918	183	1525294
