wiki,new_active_editors_2022,new_active_editors_2023,new_active_editors_change,,,,,,,,,,,,,,,,,
enwiki,4563,4065,-10.91%,,,,,,,,,,,,,,,,,
eswiki,1070,944,-11.78%,,,,,,,,,,,,,,,,,
cswiki,92,80,-13.04%,,,,,,,,,,,,,,,,,
idwiki,232,199,-14.22%,,,,,,,,,,,,,,,,,
trwiki,193,165,-14.51%,,,,,,,,,,,,,,,,,
itwiki,279,235,-15.77%,,,,,,,,,,,,,,,,,
nlwiki,154,124,-19.48%,,,,,,,,,,,,,,,,,
wikidatawiki,1619,1284,-20.69%,,,,,,,,,,,,,,,,,
jawiki,799,632,-20.90%,,,,,,,,,,,,,,,,,
ruwiki,542,415,-23.43%,,,,,,,,,,,,,,,,,
huwiki,54,41,-24.07%,,,,,,,,,,,,,,,,,
metawiki,30,22,-26.67%,,,,,,,,,,,,,,,,,
enwiktionary,68,47,-30.88%,,,,,,,,,,,,,,,,,
fawiki,538,368,-31.60%,,,,,,,,,,,,,,,,,
svwiki,85,58,-31.76%,,,,,,,,,,,,,,,,,
fiwiki,63,41,-34.92%,,,,,,,,,,,,,,,,,
hewiki,131,83,-36.64%,,,,,,,,,,,,,,,,,
elwiki,63,38,-39.68%,,,,,,,,,,,,,,,,,
arwiki,327,190,-41.90%,,,,,,,,,,,,,,,,,
cawiki,148,140,-5.41%,,,,,,,,,,,,,,,,,
ukwiki,201,190,-5.47%,,,,,,,,,,,,,,,,,
ptwiki,537,507,-5.59%,,,,,,,,,,,,,,,,,
plwiki,116,108,-6.90%,,,,,,,,,,,,,,,,,
dewiki,359,333,-7.24%,,,,,,,,,,,,,,,,,
frwiki,648,589,-9.10%,,,,,,,,,,,,,,,,,
commonswiki,3201,3230,0.91%,,,,,,,,,,,,,,,,,
zhwiki,343,347,1.17%,,,,,,,,,,,,,,,,,
nowiki,48,63,31.25%,,,,,,,,,,,,,,,,,
viwiki,100,138,38.00%,,,,,,,,,,,,,,,,,
thwiki,47,73,55.32%,,,,,,,,,,,,,,,,,
kowiki,122,223,82.79%,,,,,,,,,,,,,,,,,
