region,time_bucket,standard_quality,standard_quality_count
Central & Eastern Europe & Central Asia,2022-03,0.049717,214435
Central & Eastern Europe & Central Asia,2023-03,0.052099,234998
"East, Southeast Asia, & Pacific",2022-03,0.079936,141690
"East, Southeast Asia, & Pacific",2023-03,0.085225,154546
Latin America & Caribbean,2022-03,0.039108,54987
Latin America & Caribbean,2023-03,0.041089,58343
Middle East & North Africa,2022-03,0.044734,40023
Middle East & North Africa,2023-03,0.04756,43273
North America,2022-03,0.063641,163947
North America,2023-03,0.066253,175252
Northern & Western Europe,2022-03,0.086449,489579
Northern & Western Europe,2023-03,0.087887,518165
South Asia,2022-03,0.068048,37898
South Asia,2023-03,0.070615,41201
Sub-Saharan Africa,2022-03,0.038833,24269
Sub-Saharan Africa,2023-03,0.041532,26377
UNCLASSED,2022-03,0.009077,247
UNCLASSED,2023-03,0.009844,270
