month,wmf_region,total_active_editors
2022-06,,2929
2022-06,Central & Eastern Europe & Central Asia,11684
2022-06,"East, Southeast Asia, & Pacific",14939
2022-06,Latin America & Caribbean,5188
2022-06,Middle East & North Africa,3194
2022-06,North America,14082
2022-06,Northern & Western Europe,26772
2022-06,South Asia,4017
2022-06,Sub-Saharan Africa,1309
2022-07,,3065
2022-07,Central & Eastern Europe & Central Asia,11871
2022-07,"East, Southeast Asia, & Pacific",15150
2022-07,Latin America & Caribbean,5557
2022-07,Middle East & North Africa,3117
2022-07,North America,14447
2022-07,Northern & Western Europe,26431
2022-07,South Asia,4034
2022-07,Sub-Saharan Africa,1358
2022-08,,2971
2022-08,Central & Eastern Europe & Central Asia,11858
2022-08,"East, Southeast Asia, & Pacific",15613
2022-08,Latin America & Caribbean,5336
2022-08,Middle East & North Africa,3107
2022-08,North America,14368
2022-08,Northern & Western Europe,26439
2022-08,South Asia,4107
2022-08,Sub-Saharan Africa,1493
2022-09,,2879
2022-09,Central & Eastern Europe & Central Asia,11332
2022-09,"East, Southeast Asia, & Pacific",14785
2022-09,Latin America & Caribbean,5050
2022-09,Middle East & North Africa,2934
2022-09,North America,14326
2022-09,Northern & Western Europe,25902
2022-09,South Asia,3992
2022-09,Sub-Saharan Africa,1413
2022-10,,2939
2022-10,Central & Eastern Europe & Central Asia,11654
2022-10,"East, Southeast Asia, & Pacific",15059
2022-10,Latin America & Caribbean,5312
2022-10,Middle East & North Africa,3115
2022-10,North America,15247
2022-10,Northern & Western Europe,27405
2022-10,South Asia,4092
2022-10,Sub-Saharan Africa,1438
2022-11,,2841
2022-11,Central & Eastern Europe & Central Asia,11804
2022-11,"East, Southeast Asia, & Pacific",14641
2022-11,Latin America & Caribbean,5121
2022-11,Middle East & North Africa,2920
2022-11,North America,15411
2022-11,Northern & Western Europe,27190
2022-11,South Asia,3774
2022-11,Sub-Saharan Africa,1294
2022-12,,2849
2022-12,Central & Eastern Europe & Central Asia,12526
2022-12,"East, Southeast Asia, & Pacific",14687
2022-12,Latin America & Caribbean,5300
2022-12,Middle East & North Africa,3208
2022-12,North America,15122
2022-12,Northern & Western Europe,26845
2022-12,South Asia,4017
2022-12,Sub-Saharan Africa,1293
2023-01,,3137
2023-01,Central & Eastern Europe & Central Asia,12933
2023-01,"East, Southeast Asia, & Pacific",15233
2023-01,Latin America & Caribbean,5782
2023-01,Middle East & North Africa,3538
2023-01,North America,15436
2023-01,Northern & Western Europe,29140
2023-01,South Asia,4172
2023-01,Sub-Saharan Africa,1261
2023-02,,2969
2023-02,Central & Eastern Europe & Central Asia,12087
2023-02,"East, Southeast Asia, & Pacific",14147
2023-02,Latin America & Caribbean,5301
2023-02,Middle East & North Africa,2970
2023-02,North America,14513
2023-02,Northern & Western Europe,26573
2023-02,South Asia,3937
2023-02,Sub-Saharan Africa,1461
2023-03,,3050
2023-03,Central & Eastern Europe & Central Asia,12426
2023-03,"East, Southeast Asia, & Pacific",15093
2023-03,Latin America & Caribbean,5465
2023-03,Middle East & North Africa,3079
2023-03,North America,15762
2023-03,Northern & Western Europe,27999
2023-03,South Asia,4450
2023-03,Sub-Saharan Africa,1625
2023-04,,2950
2023-04,Central & Eastern Europe & Central Asia,12659
2023-04,"East, Southeast Asia, & Pacific",14817
2023-04,Latin America & Caribbean,5379
2023-04,Middle East & North Africa,3075
2023-04,North America,15431
2023-04,Northern & Western Europe,27096
2023-04,South Asia,4148
2023-04,Sub-Saharan Africa,1522
2023-05,,2818
2023-05,Central & Eastern Europe & Central Asia,12423
2023-05,"East, Southeast Asia, & Pacific",14977
2023-05,Latin America & Caribbean,5378
2023-05,Middle East & North Africa,3185
2023-05,North America,15043
2023-05,Northern & Western Europe,27988
2023-05,South Asia,3915
2023-05,Sub-Saharan Africa,1610
2023-06,,2886
2023-06,Central & Eastern Europe & Central Asia,11577
2023-06,"East, Southeast Asia, & Pacific",14543
2023-06,Latin America & Caribbean,5372
2023-06,Middle East & North Africa,3393
2023-06,North America,13933
2023-06,Northern & Western Europe,26631
2023-06,South Asia,3824
2023-06,Sub-Saharan Africa,1670
2023-07,,2984
2023-07,Central & Eastern Europe & Central Asia,11463
2023-07,"East, Southeast Asia, & Pacific",14539
2023-07,Latin America & Caribbean,5440
2023-07,Middle East & North Africa,3078
2023-07,North America,14199
2023-07,Northern & Western Europe,26856
2023-07,South Asia,4062
2023-07,Sub-Saharan Africa,1682
2023-08,,3250
2023-08,Central & Eastern Europe & Central Asia,11838
2023-08,"East, Southeast Asia, & Pacific",14936
2023-08,Latin America & Caribbean,5379
2023-08,Middle East & North Africa,3077
2023-08,North America,14335
2023-08,Northern & Western Europe,27260
2023-08,South Asia,4017
